Wed, 07 Sep 2016 23:14:59:Insert_mysql_Efforttime.py[line:29] INFO Connect Redis OK!
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-02 11:36:43', u'oe-zhanglianhui-china', 100, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-02 11:32:03', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-02 08:10:39', u'oe-yanghongsheng-china', 15, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-01 16:38:43', u'oe-JiangShiXun-china', 20, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-09-01 06:46:52', u'oe-lichuangcheng-china', 30, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-08-31 23:29:01', u'oe-YueZhao-china', 50, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-08-31 17:42:57', u'oe-JiangShiXun-china', 50, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-08-31 16:35:02', u'oe-JiangShiXun-china', 10, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22333739', u'2016-08-31 16:32:31', u'oe-JiangShiXun-china', 10, u'2016-09-07 22:38:27']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22296997', u'2016-08-30 23:47:29', u'oe-zhanglianhui-china', 30, u'2016-09-07 22:36:13']
Wed, 07 Sep 2016 23:15:00:Insert_mysql_Efforttime.py[line:291] INFO ['22296997', u'2016-08-30 22:15:42', u'oe-YueZhao-china', 30, u'2016-09-07 22:36:13']
